rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
79,70ZFIMo161JBNrcim,1531883776601860,运动,其他,3803905
80,77Eg7W2Tf1JCvI60A,1555318826154889,影视综艺,影视片段,3782604
81,7hsrYa2w61JC3EgN9,1589864218555742,情感,婚礼现场/花絮,3771117
82,73vxl6V111JDfeft0,1540736934551651,搞笑,逗比,3759130
83,7dVug50Vw1JvOrO1t,1577427064004806,情感,婚礼现场/花絮,3728850
84,714yeCplL1JBJIfdF,1532160919181721,情感,两性情感小剧场,3728725
85,7bBb1Tpsi1JDR6zlp,1569230213922550,亲子,搞笑儿童,3711285
86,77bNgIktK1JCKGsD6,1553701981424452,时尚,服饰穿搭,3686349
87,7d1348VGz1JDtZ1t0,1574221338842771,影视综艺,影视片段,3679834
88,76GROGG2x1JBiUWcT,1551945340654325,新闻资讯,交通资讯,3651004
89,70dHcdAD31JCKxJLA,1529158716423741,新闻资讯,交通资讯,3615559
90,78tvCjYA81JDr8lab,1558229829155544,搞笑,生活趣事,3598804
91,71IvCfN5q1Jvzr9Vh,1534430529448348,旅行风景,特色项目体验,3598195
92,75umwxbIw1JBBxETp,1547713454867756,影视综艺,影视片段,3593530
93,77aapC6In1JBfXXXc,1553609583512567,亲子,搞笑儿童,3585136
94,76PO0aK2i1JBHRCog,1552453047948150,美食,美食秀,3527655
95,7gUPlyg291JBYS8An,1587954427228581,搞笑,生活趣事,3520666
96,7aoAkjFRq1JBpeVx4,1564993371808188,情感,两性情感小剧场,3483431
97,7hsrYa2w61JC3RoVA,1589864218555742,生活,生活随拍,3475708
98,76yX74I8F1JDBatOr,1551495791135801,新闻资讯,社会民生,3454830
99,7cZoE39HV1JwAefC4,1574127507733103,影视综艺,影视片段,3435720
100,75fwjzfot1JwCdRdV,1546870421060737,萌宠,狗,3435152
101,78d287TyK1JBIjWgB,1557294011364750,知识,健康养生,3434046
102,7e7PovFcl1JBeFOHD,1578128030183305,搞笑,逗比,3426311
103,7cHvU8lxO1JCMMAV1,1573111754080932,搞笑,逗比,3414983
104,7cEQ12bz81JDROsvy,1572959777996846,生活技巧,生活窍门,3408790
105,73vxl6V111JBKEgxw,1540736934551651,搞笑,生活趣事,3406351
106,7hu2rP6ZU1JDuvsqS,1589954437875694,情感,两性情感其他,3405348
107,73I0mpeu11JAV5NWi,1541445124371861,情感,婚礼现场/花絮,3395404
108,7cORACKbI1JCJp38z,1573529222370174,亲子,亲子互动,3386287
109,726fj0zrP1JCadOx4,1535778792599321,生活,生活随拍,3362501
110,77NEPIo3t1JCHkOAV,1555852662366663,生活,生活随拍,3349257
111,7hdOvspER1JCmUFCC,1589032861942233,亲子,孕产,3345374
112,79yvEEzxr1JDx8rT7,1562035479400965,情感,两性情感小剧场,3329978
113,7awivYktM1JCwXBfa,1565431455530838,情感,亲情,3324543
114,7eaKxmJud1JD5QEBk,1578293981084453,搞笑,剧情段子,3323097
115,7cZmB2yvd1JDLhXMQ,1574125630995415,颜值,美女,3322969
116,7efzWE6aJ1JCoxmiq,1578568278348401,亲子,亲子互动,3297739
117,79qTss69F1JAQHc2f,1561602884415343,长尾才艺,杂技,3286712
118,7ftsfJatA1JCqNOi1,1582878049148698,情感,两性情感小剧场,3250523
119,6ZEAqZEZM1JC6mdGU,1527164513573710,情感,两性情感小剧场,3248133
120,7euZ77s5s1JC4r9bX,1579443339962074,汽车/摩托车,秀汽车,3220532
121,7aH5jD20W1JCQaGcn,1566044166003546,工业/机械/施工,工厂加工制作,3210772
122,753j0gAIX1JBOAYjs,1546176623310291,生活,生活随拍,3202039
123,7csbNx2Dk1Jz9D11P,1572241330341686,搞笑,逗比,3180466
124,7czESKPbu1JCprhuR,1572665577009476,知识,科普/冷知识,3171746
125,7efzWE6aJ1JD1YBYj,1578568278348401,生活,生活随拍,3161448
126,7dYNOkClg1JCrn9r4,1577615377349534,生活,生活随拍,3153925
127,7cPeatEI01JBH9GAX,1573549907074560,街拍,剧情街拍,3134608
128,778jSJIs91JCriOdx,1553504658563993,搞笑,逗比,3134399
129,74LYsT3iR1JC5R7kY,1545192203419621,知识,科普/冷知识,3092972
130,7drhyr46v1JD5PTia,1575711418439947,搞笑,逗比,3081524
131,6YaJnUfN51JDuVizW,1521947091477935,生活,生活随拍,3077689
132,77dZxUM9V1Jwjh6Kj,1553826829653655,搞笑,生活趣事,3070921
133,7gFZxQnyU1JBiEbxf,1587111766658016,动物,农村家禽,3062434
134,72mTQGh3d1JBGY9aE,1536724739240091,生活,新奇好玩,3046245
135,78mlU9t7F1JCIhAA5,1557823329647975,生活,生活随拍,3034305
136,7aGG7u2U41JD5um9a,1566021083225180,颜值,美女,3019166
137,7cErdMH3L1JDa8DW3,1572937063076229,情感,婚礼现场/花絮,3006977
138,73vxl6V111JCv8omP,1540736934551651,搞笑,逗比,2996211
139,73bvci8991JB9EcHo,1539598967259367,三农,农家生活,2995393
140,72OSJDJ1M1JDT3Snk,1538314125661818,搞笑,搞笑文字/表情包,2993377
141,75RuYOjxL1JCFks2B,1549027607167913,情感,两性情感小剧场,2991636
142,7hpGYme521JCsIWd7,1589707562745856,生活,生活随拍,2986884
143,76Z3zieye1JE1sWK3,1552978511018242,新闻资讯,社会民生,2983497
144,77Ef22Wrr1JCC67za,1555317823007549,影视综艺,影视片段,2973223
145,7fWMm1AHU1JEgf9VU,1584543671686026,搞笑,生活趣事,2965654
146,6Zo4PNgOk1JDxUkl1,1526226760009240,搞笑,剧情段子,2962029
147,7hsrYa2w61JBHuxEv,1589864218555742,情感,两性情感其他,2935706
148,7dPsaYDTz1JyEL3wO,1577084354925457,生活,生活随拍,2935364
149,77KPmQviQ1JAWk5IY,1555691912541804,新闻资讯,社会民生,2925707
150,7dpkrNH6X1JCIXPXS,1575600468326083,生活,生活随拍,2922545
151,73vxl6V111JDedWI4,1540736934551651,亲子,搞笑儿童,2913226
152,73ASRKqq61JAbgJS6,1541040656777306,新闻资讯,社会民生,2911422
153,7dvyt2yyC1JBiYM1I,1575954113917610,萌宠,狗,2884953
